topology,K,p,k,realization,baseSeed,runSeed,outputDir,status
random,0.00,0.00,,1,20260527,-1368254895808366085,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.00/seed_0001,OK
random,0.00,0.00,,2,20260527,-1368254895808366084,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.00/seed_0002,OK
random,0.00,0.00,,3,20260527,-1368254895808366083,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.00/seed_0003,OK
random,0.00,0.00,,4,20260527,-1368254895808366082,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.00/seed_0004,OK
complete,1.00,,,11,20260527,-3959763554863522949,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_1.00/seed_0011,OK
random,0.00,0.00,,5,20260527,-1368254895808366081,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.00/seed_0005,OK
random,0.00,0.00,,6,20260527,-1368254895808366080,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.00/seed_0006,OK
random,0.00,0.00,,7,20260527,-1368254895808366079,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.00/seed_0007,OK
random,0.00,0.00,,8,20260527,-1368254895808366078,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.00/seed_0008,OK
random,0.00,0.00,,9,20260527,-1368254895808366077,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.00/seed_0009,OK
random,0.00,0.00,,10,20260527,-1368254895808366076,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.00/seed_0010,OK
random,0.00,0.00,,11,20260527,-1368254895808366075,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.00/seed_0011,OK
random,0.00,0.00,,12,20260527,-1368254895808366074,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.00/seed_0012,OK
random,0.00,0.00,,13,20260527,-1368254895808366073,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.00/seed_0013,OK
random,0.00,0.00,,14,20260527,-1368254895808366072,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.00/seed_0014,OK
random,0.00,0.00,,15,20260527,-1368254895808366071,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.00/seed_0015,OK
random,0.10,0.00,,1,20260527,-6017771151105654239,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.10/seed_0001,OK
random,0.10,0.00,,2,20260527,-6017771151105654238,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.10/seed_0002,OK
random,0.10,0.00,,3,20260527,-6017771151105654237,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.10/seed_0003,OK
random,0.10,0.00,,4,20260527,-6017771151105654236,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.10/seed_0004,OK
random,0.10,0.00,,5,20260527,-6017771151105654235,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.10/seed_0005,OK
random,0.10,0.00,,6,20260527,-6017771151105654234,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.10/seed_0006,OK
random,0.10,0.00,,7,20260527,-6017771151105654233,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.10/seed_0007,OK
random,0.10,0.00,,8,20260527,-6017771151105654232,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.10/seed_0008,OK
random,0.10,0.00,,9,20260527,-6017771151105654231,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.10/seed_0009,OK
random,0.10,0.00,,10,20260527,-6017771151105654230,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.10/seed_0010,OK
random,0.10,0.00,,11,20260527,-6017771151105654229,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.10/seed_0011,OK
random,0.10,0.00,,12,20260527,-6017771151105654228,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.10/seed_0012,OK
random,0.10,0.00,,13,20260527,-6017771151105654227,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.10/seed_0013,OK
random,0.10,0.00,,14,20260527,-6017771151105654226,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.10/seed_0014,OK
random,0.10,0.00,,15,20260527,-6017771151105654225,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.10/seed_0015,OK
random,0.20,0.00,,1,20260527,-978243168078069215,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.20/seed_0001,OK
random,0.20,0.00,,2,20260527,-978243168078069214,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.20/seed_0002,OK
random,0.20,0.00,,3,20260527,-978243168078069213,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.20/seed_0003,OK
random,0.20,0.00,,4,20260527,-978243168078069212,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.20/seed_0004,OK
random,0.20,0.00,,5,20260527,-978243168078069211,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.20/seed_0005,OK
random,0.20,0.00,,6,20260527,-978243168078069210,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.20/seed_0006,OK
random,0.20,0.00,,7,20260527,-978243168078069209,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.20/seed_0007,OK
random,0.20,0.00,,8,20260527,-978243168078069208,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.20/seed_0008,OK
random,0.20,0.00,,9,20260527,-978243168078069207,outputs/fhn-sweep-T500-dt005-observables/runs/random/p_0.00/K_0.20/seed_0009,OK
